genes	cluster
Traf1	1
Gbp5	1
Ccr7	1
Il1b	2
Irf7	1
Oprd1	1
Cd40	1
Il12b	2
Sdc4	1
Il27	1
Ccl4	2
Mab21l3	2
Nr4a3	1
Ifit3	1
Plxnc1	2
Oasl2	1
Acod1	1
Dusp2	2
Oas3	1
Cxcl10	1
Ifnl2	1
Ifitm2	2
Ccl5	1
Fscn1	1
Tnip3	2
Ddx58	1
Cdkn1a	1
Gadd45b	2
Tnfsf15	1
Maf	1
Lad1	2
Gypc	1
Ier3	2
C3ar1	2
Oasl1	1
Parp14	1
Itgb8	1
Marcksl1	1
Rftn1	2
Xaf1	1
Apol7c	1
Ifit2	1
Zbtb32	1
Ifih1	1
Bcl3	2
Cd8a	1
Ifi204	1
Ifit3b	1
Lgals3bp	1
Oas1a	1
Dhx58	1
Ifit1bl1	1
Slamf7	1
Nfkbiz	2
Serpine1	1
Ifit1	1
Ccl22	1
Pdcd1lg2	2
Stx11	1
Pvr	1
Dlgap3	2
Nrp2	2
Rgs1	1
Usp18	1
Kbtbd11	3
Tnf	1
Cyp2s1	3
Hspa1a	1
Ebi3	2
Plat	1
Lgals9	1
Etv3	1
Cd83	1
Vgf	2
Siglecf	3
Tgfbi	3
Cd274	2
Bcl2l11	2
Zbp1	1
Alox5ap	3
Ifnl3	1
Relb	1
Nectin2	1
Swap70	1
Sema4f	4
Ifi206	1
Tbxas1	3
Macc1	1
Slfn1	1
Fam89a	2
Adora2a	1
Cflar	1
Rasa4	1
Tm6sf1	3
Rtp4	1
Il1rn	2
Arhgap18	3
Ifi213	1
Hdc	1
Cln8	3
Gm5431	1
Tnfaip3	1
Adgrg6	1
Csrnp1	1
Ccl3	2
Trim25	1
Rtl8c	3
Slfn5	1
Birc3	1
Socs3	2
Cd209f	2
Cx3cl1	2
Unc119	3
Nfkb2	1
Pla1a	1
Slfn8	1
Acss1	3
Ildr1	1
Klk1b16	2
Hsh2d	1
Man2b1	3
Herc6	1
Septin3	3
Il21r	1
Gbp2	1
Irf4	2
Bcl2a1b	1
Adamts4	2
Il6	2
Ehf	2
Ppt1	3
Zbtb10	1
Cdk5r1	1
Ehd1	2
Sema4a	1
Pik3ap1	1
Rab20	2
Pianp	3
A530032D15Rik	1
Nipal1	1
Ppfia3	2
Cmpk2	1
Rassf4	2
Dusp1	2
Gbp7	1
H2.DMb1	5
Rtl8b	3
Icam1	1
Hspa1b	1
Capn5	1
Gpr31b	2
Cd80	1
Slfn9	1
Ifi207	1
Isg15	1
Snn	1
Plagl1	1
Furin	2
Arhgap8	1
Fam234b	3
Nfkbie	1
Egr3	3
Mgll	2
Hnf1b	2
Scin	1
Lbh	3
Acvrl1	3
Dusp6	5
Cxcl9	1
Gm13889	1
Cxcl16	2
Tnfsf9	1
Entpd1	3
Adgrg5	3
Gpr132	1
Sp6	2
Nfam1	3
Itgb7	3
Dpep2	3
Tmem39a	1
Gpr157	1
Phf11d	1
Ms4a4c	1
Daxx	1
Dapp1	1
Rsad2	1
Mtf1	1
Vwa1	3
Znfx1	1
Dusp5	1
Dusp7	3
Ppp1r15a	1
Sp140	1
Gramd3	1
Sh3bp4	2
Rasip1	1
Klk1b9	6
Dapk1	3
Adap1	1
Tgtp1	1
Il10ra	1
Tdrd7	1
Mon1b	2
Samhd1	1
Hepacam2	3
Stat5a	2
Mxd1	4
Kctd14	1
Tlr12	3
Inpp5d	3
Slc9a9	3
Cdc42ep2	1
Cxcl11	1
Batf	2
Anxa2	1
Il15	1
P2rx7	3
Dll4	1
Bhlhe40	1
Sh3tc1	3
Glipr2	1
Isg20	1
Fcgrt	3
Gm7609	1
Rnf144b	3
Flvcr2	2
Tifab	3
Ccl17	2
Parp12	1
Rbms2	4
Sipa1l1	1
Trim30d	1
Abtb2	1
Spsb1	1
Ankrd63	3
Lyz2	3
Csf2rb2	2
Nlrp3	5
Btg1	1
Cxcr3	5
AW011738	1
Ifi208	1
