PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak23762	0.00	1.29	1.50	0.00	1.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	1.00	0.00	0.00	0.63	0.80
peak16647	1.11	9.02	6.00	2.97	9.33	21.05	1.11	15.47	1.04	6.24	0.00	4.79	0.48	2.79	2.73	1.92	1.26	10.40
peak5797	5.54	3.87	7.51	9.49	9.33	0.00	0.00	0.00	1.04	0.00	0.00	0.00	2.66	1.45	0.00	0.64	5.03	0.00
peak28716	0.00	0.00	1.50	0.00	3.11	1.91	0.00	0.00	1.04	0.00	1.61	0.00	0.12	1.23	0.00	0.00	0.00	1.60
peak22616	21.05	18.04	19.51	9.49	23.34	34.44	2.23	19.34	3.12	10.39	4.83	3.19	3.63	7.70	5.47	5.13	0.63	11.20
peak15762	7.75	47.68	4.50	2.97	1.56	15.31	3.34	4.84	1.04	4.16	0.00	3.19	1.09	2.23	2.73	1.92	1.26	4.80
peak19433	5.54	2.58	33.02	13.64	3.11	1.91	2.23	1.93	1.04	0.00	1.61	3.19	1.94	3.01	2.73	2.57	0.00	2.40
peak5189	0.00	0.00	1.50	1.19	0.00	0.00	0.00	0.97	0.00	0.00	3.22	3.19	0.48	0.78	0.00	1.28	0.00	3.20
peak28753	11.08	7.73	9.01	9.49	20.22	36.35	1.11	12.57	4.16	8.32	3.22	9.58	1.81	4.13	2.73	2.57	1.89	4.00
peak30089	2.22	5.15	0.00	4.75	7.78	1.91	1.11	6.77	0.00	8.32	4.83	1.60	1.69	1.45	0.00	1.92	2.51	1.60
peak26612	4.43	1.29	1.50	3.56	7.78	3.83	3.34	7.74	0.00	0.00	0.00	7.98	1.45	3.68	8.20	1.28	1.89	3.20
