PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak23762	4.04	1.73	5.38	2.56	13.05	11.02	16.45	0.00	0.00	6.22	2.32	0.99	5.43	1.15	3.06	1.18	13.31	10.60	34.02	0.41	2.63	3.71
peak16647	3.18	37.45	10.75	51.78	0.78	1.50	2.59	0.92	16.40	15.21	1.03	3.45	1.97	1.73	15.30	7.07	4.44	10.60	11.91	0.82	11.13	10.26
peak5797	26.27	39.18	25.18	38.98	20.88	19.53	15.98	2.77	10.25	7.60	4.38	4.93	3.45	2.88	10.71	5.89	40.82	32.56	57.84	3.29	12.21	10.12
peak28716	6.06	6.63	5.94	5.12	9.13	10.02	5.88	3.69	3.59	3.11	2.32	3.95	3.95	2.30	9.18	5.30	6.21	24.23	17.01	2.05	7.73	6.70
peak22616	41.28	35.43	41.87	36.70	70.21	82.38	83.91	2.77	4.61	3.46	12.11	29.60	33.05	0.58	5.10	5.30	6.21	5.30	25.52	1.44	9.12	6.84
peak15762	7.79	5.76	6.79	13.09	7.57	6.26	8.70	1.38	7.18	2.07	1.55	4.93	7.89	0.00	2.04	4.13	2.66	2.27	75.70	5.14	14.84	23.09
peak19433	21.65	17.00	25.75	21.62	87.17	82.63	87.67	1.38	25.11	4.15	10.31	18.25	6.41	2.30	21.94	12.38	35.50	48.46	67.20	20.95	34.32	19.95
peak5189	0.58	1.15	4.53	1.71	0.52	0.75	0.71	2.77	1.03	0.00	0.77	0.99	0.99	0.00	0.00	0.00	2.66	1.51	0.00	1.03	1.24	0.86
peak28753	49.94	26.50	30.27	33.01	26.62	20.53	25.15	0.00	3.59	10.72	6.18	10.85	7.40	3.45	13.26	8.25	23.96	23.47	31.47	3.90	11.44	10.55
peak30089	1.15	1.44	1.70	6.83	0.78	1.00	1.18	0.00	0.00	1.38	0.77	1.48	0.49	0.00	1.53	1.18	0.00	0.00	0.00	0.62	1.24	1.00
peak26612	6.06	4.32	6.79	8.25	2.61	1.00	1.41	3.23	1.03	0.00	0.77	2.47	0.00	2.30	0.51	0.59	0.89	0.76	0.00	3.08	2.63	2.28
peak20729	9.82	3.17	6.22	14.23	4.70	5.01	4.00	0.92	4.10	1.38	1.55	0.00	1.97	0.00	1.02	1.18	1.77	3.03	0.00	7.81	3.71	3.28
peak27047	26.85	12.39	22.92	9.39	23.23	15.77	11.75	1.84	5.64	3.11	7.99	2.96	1.97	0.58	1.02	1.77	27.51	26.50	16.16	1.44	4.17	2.42
peak27246	3.46	2.30	5.94	3.41	3.13	2.00	5.17	0.00	1.03	0.00	1.55	1.97	0.49	0.00	4.59	3.54	1.77	3.79	5.95	2.05	4.64	3.71
peak27115	15.59	8.64	9.90	17.36	40.45	36.81	29.85	4.15	8.71	8.30	11.08	9.87	6.41	5.75	12.24	10.02	25.74	31.05	44.23	3.29	19.32	15.96
peak20852	4.62	8.07	7.92	15.08	3.13	3.51	3.06	1.84	2.05	5.53	1.03	1.48	1.48	1.15	1.02	2.36	1.77	0.00	1.70	2.05	7.73	6.98
peak15916	0.87	5.47	5.94	9.39	1.83	1.75	1.88	1.84	0.00	0.69	1.29	0.00	2.47	0.58	1.02	0.59	1.77	0.76	3.40	0.62	1.08	1.71
peak27819	3.75	11.52	8.20	19.92	1.04	3.51	1.41	0.92	7.69	9.68	1.80	1.48	0.00	0.58	3.57	2.95	1.77	0.00	0.85	0.82	2.01	1.00
