genes	cluster
Traf1	1
Tdrd7	2
Gbp5	3
Hsh2d	3
Dpep2	4
Lbh	4
Ipcef1	5
Als2	1
Cxcl11	2
Xaf1	2
Ccr7	3
Pvr	6
Fgfr1	4
Sh3tc1	5
Pde4b	7
Capn5	3
Ildr1	3
Atf3	1
Ifnl3	6
Rnf144b	5
Ifi207	2
Lad1	3
Zbtb10	6
Inpp5d	8
Acvrl1	5
Sema4d	9
Fbxw11	7
Nrp2	1
Clec5a	8
Znfx1	2
Rasa4	2
Serpina3g	2
Etv3	7
Arid5a	7
Cd8a	3
Cd83	2
Cd80	6
Cflar	1
Rtp4	2
Slamf7	6
Tifab	5
Ell3	6
Ifih1	6
Arhgef3	1
Nfam1	5
Ifit1	2
Septin3	4
Hdc	6
Prr5l	3
Sema4f	10
Il1b	11
Mlec	5
Irf7	2
Grap2	12
Fam234b	5
Gnb4	1
Hhex	13
Cxcl16	1
Herc6	2
Ppt1	4
Tmem106a	3
Cln8	5
Tgfbr2	1
Tgfbi	4
Lrp11	1
Tbxas1	5
Cdkn1a	2
Il10	1
Ifit1bl1	1
Rasa3	5
Csf2rb2	1
Ifi206	2
Irf4	14
Arhgap8	2
Man2b1	4
Cd274	7
Nfkbiz	11
Oas1a	2
Rassf4	3
Mov10	2
Il10ra	6
Isg15	6
Oprd1	2
Cx3cl1	1
Dapk1	5
Cd40	1
Il12b	1
Unc119	9
Sdc4	6
Gadd45b	7
Ppp1r15a	6
Gbp2	2
Samhd1	2
Tor3a	1
B4galt5	1
Bcl2l11	1
Parp9	3
Otulinl	5
Mfge8	15
AW011738	6
Stx11	1
Lgals9	1
Spsb1	1
Ppfia3	7
Marcksl1	2
Il27	1
Parp12	2
Il6	1
Dapp1	16
Icam1	6
Slfn1	2
St14	6
Tnfaip3	1
Gm7609	1
Mfhas1	1
Ccl4	1
Vgf	7
Mab21l3	11
Ccn2	4
Socs3	7
Cd209f	11
Trim14	3
Csrnp1	6
Nr4a3	6
Adap1	3
Egr3	8
Adgrg5	5
Gpr132	1
Ehd1	3
Rtl8c	4
Slfn8	3
Pml	2
Cdc42ep2	3
Serpine1	1
Trim25	3
Gramd3	2
Swap70	3
Irf9	3
Itgb8	3
Ebi3	1
Rbms2	10
Tm6sf1	5
Cldn4	1
Furin	17
Ifit3	2
Bcl2a1b	3
Cmpk2	2
Lgals3bp	2
Bcl2a1a	6
Entpd1	4
Adamts4	7
Tpcn1	5
Cyp26b1	8
BC049352	7
Plxnc1	11
Siglecf	4
Adora2a	1
Gypc	3
Slc43a2	5
Hexa	4
Usp18	2
Cttn	18
Rgs1	1
Slfn5	2
Tnfsf9	1
Alox5ap	4
Dusp1	7
Tnf	1
Dusp10	5
Trim30d	3
Tnfsf15	3
Rab20	11
Gcnt4	1
Oasl2	2
Pdcd1lg2	11
Zbp1	2
Pla1a	2
Dusp6	4
Acod1	2
Cyp2s1	5
Rasip1	3
Pik3ap1	1
Tmem39a	1
Apol7c	2
Gm13889	7
Poglut1	7
Hspa1a	3
Hspa1b	3
Unc93a	1
Gbp7	2
Il1rn	1
Ccl22	3
Ifit2	2
Dusp2	7
Oas3	2
Glipr2	3
Hepacam2	4
Acss1	5
Rtl8b	5
Zbtb32	6
Kbtbd11	5
Ier3	1
A530032D15Rik	2
Cxcl10	2
Ifnl2	6
Cd69	1
Parvb	4
Bcl3	7
Ifi204	2
Gca	3
Ifitm2	1
Sh3bp4	1
Sp140	2
Dhx58	3
Arhgap18	5
Gpr157	2
Oasl1	2
Parp14	2
Gm5431	2
Tlr12	5
Fads1	5
Abtb2	7
Phf11d	2
Chst7	1
Maf	2
Birc3	6
Ccl5	3
Ifit3b	2
Fscn1	3
Tnip3	1
Lyz2	15
Rsad2	2
Ddx58	2
Fam89a	7
Ifi213	2
Nsun4	3
Rftn1	19
Car13	1
H2.DMb1	4
Slc35c2	5
Flvcr2	11
Tpm2	20
Ccl17	11
Itgb5	1
Rapgef5	21
Apol10b	18
Arhgap28	6
Cass4	22
Klk1b16	19
Hsd17b4	4
Itgb7	5
Rnd1	7
Pou2f2	1
Rab7b	8
Ptpn7	5
Daxx	3
P2rx7	4
Jdp2	7
Slc9a9	5
Slfn9	3
Mgll	19
Klhl6	5
S1pr1	1
Trib1	7
Pianp	9
Ifnlr1	1
Zfp36l1	2
Pgbd5	4
Batf	11
Gpr31b	1
Dusp5	6
Fcgrt	5
Dapk2	5
C3ar1	1
Mmp13	12
Serpinb1a	7
Nipal1	6
Xdh	16
X5031439G07Rik	5
H2.DMa	5
Cd200	1
Cdkn2b	1
Themis2	1
Mapk14	5
Anxa2	6
Tor1aip2	1
Kctd14	1
Ano6	5
Hip1	5
Pdlim2	5
Plagl1	2
Lrrc1	9
Nectin2	3
Vwa1	23
Tgtp1	2
Myof	4
Gm21188	1
Cyp8b1	8
Pak1	5
Hcar2	1
Trim34a	2
Rtn4rl1	5
Mtf1	3
Cxcl9	2
Mettl7a1	4
Snn	1
Ehd4	2
Relb	3
Mylip	1
E2f2	9
Dbn1	5
D730005E14Rik	6
Dll1	1
Gstm1	12
Ifi208	2
Idh2	20
Macc1	6
Cd84	5
Nfkb2	6
Phf11b	3
Ctnnbip1	5
Ccl3	7
Ell2	1
Nlrp3	22
Gm6548	2
H3f3b	3
Peli1	2
Ints4	6
Ehf	11
Stat5a	7
Il15	2
Smyd1	7
Pfkfb3	6
Dlgap3	7
Sipa1l1	6
Adgrg6	1
Dusp7	5
Laptm5	5
Bhlhe40	2
F11r	1
Ifnb1	6
Mmp19	3
St6gal1	5
Rgs12	1
Procr	1
Klk1b9	19
Smox	1
Cacna1s	7
Maml2	3
Slc46a3	9
Tmcc3	3
Fam102b	4
Gbp4	2
Tnfrsf9	1
Hnf1b	19
Cxcr3	9
Map2k6	23
Arhgef6	5
Prdm1	1
Slfn10.ps	3
Carhsp1	1
Ms4a4c	2
Tspan9	9
Hamp	1
Nck2	1
Osmr	7
Grina	1
Iqgap2	8
Tmco3	3
Rnf114	1
Ptger4	3
Sp110	2
Unc93a2	11
Plce1	5
Tnfaip2	3
Csf1r	20
Zfp36	1
Dyrk2	1
Cptp	7
Arhgap42	21
Dcaf12	9
Zfp703	1
Elp5	3
Gbp9	2
Ms4a7	1
Oas1g	1
Batf2	1
Sp100	2
Btg1	2
X1600014C10Rik	10
Tm9sf4	1
Nfkbie	2
Sema4a	3
Gm19510	1
Rab19	8
Bcl2a1d	3
Ptpn18	4
Rhbdl3	7
Hc	7
Frmd4b	2
Gbp3	2
Hnrnpll	5
Slfn2	3
Ctdsp2	4
Cdc14a	9
Riox2	11
Lpar5	5
Ddx60	2
Fam149a	5
Pim1	6
Pttg1	6
Mon1b	19
Plgrkt	11
Lrrk2	5
Csrp1	2
Prxl2a	24
Adam8	1
Rnf130	5
Nudt9	6
Mmp25	3
Ksr1	14
Abcd1	8
Dph5	7
Eif2ak1	1
Tnip1	2
Psap	4
Pdxk	23
Nfkbia	7
Tlr11	9
Pdp2	18
Cxcl2	1
Arhgap22	7
Asrgl1	19
Cyb5a	5
Tpbg	1
Mxd1	6
Tmem176a	1
Slc39a10	23
Otof	1
Ccpg1	5
Mospd1	9
Mul1	6
Serpinb8	8
Plat	6
Alas1	7
